Date,Vessel ID/ Length,Surveyor,Port,Area fished,% of total catch surveyed,Gear Type,No. of gears,Species ID,Species common name,% of individuals sampled out of total,Length (cm),Length Type,Weight (kg)
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,14,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,17.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,13,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,16.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCH,Doctorfish,100,23.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,24.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,24,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,15.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,17.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,14.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,17.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,15.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,15.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,16,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,16.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,14.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,16,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,16.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCH,Doctorfish,90,17.5,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,ACANCH,Doctorfish,50,19.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,17,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,22.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,15.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,16,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,19,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,19,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,19,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,19,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,17,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,22,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,19,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,16,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,15.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,17.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,19,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,17.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,ACANCO,Blue Tang,100,18,FL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,ACANCO,Blue Tang,100,20.5,FL,0.3
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,ACANCO,Blue Tang,,18.5,FL,
6/19/2015,Try me,LL/JA,Carr's Bay,2 and 3,1,pot,20,ACANCO,Blue Tang,,17.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,17,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,18.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,19.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,17.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,18.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,20,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,17,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,18.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,19,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,20,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,19.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,18,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,19,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,19,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,18,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,ACANCO,Blue Tang,100,17.5,FL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,ACANCO,Blue Tang,75,21.5,FL,
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,ACANCO,Blue Tang,75,21.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCO,Blue Tang,90,17,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCO,Blue Tang,90,17.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCO,Blue Tang,90,17.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCO,Blue Tang,90,16,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,ACANCO,Blue Tang,90,16,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,ACANCO,Blue Tang,50,19,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,ACANCO,Blue Tang,50,18.5,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,ACANCO,Blue Tang,50,19,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,33.5,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,35.5,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,31,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,28,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,28.5,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,30,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,35.5,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,26,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,36.5,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,29.5,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,BALIVE,Queen Triggerfish,100,28,FL,
6/17/2015,Experience,KS/LT,Little Bay,6,20,POT,,BALIVE,Queen Triggerfish,100,25.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,BALIVE,Queen Triggerfish,100,31.5,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,BALIVE,Queen Triggerfish,100,32,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,BALIVE,Queen Triggerfish,100,21,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,BALIVE,Queen Triggerfish,100,27.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,BALIVE,Queen Triggerfish,100,27,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,BALIVE,Queen Triggerfish,100,21.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,BALIVE,Queen Triggerfish,100,31,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,BALIVE,Queen Triggerfish,100,34,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,BALIVE,Queen Triggerfish,100,27.5,FL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,BALIVE,Queen Triggerfish,100,28.5,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,27.5,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,25,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,30,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,36,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,32.5,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,29,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,36,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,27,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,32,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,34,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,28,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,28.5,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,BALIVE,Queen Triggerfish,90,29.5,FL,
6/18/2015,Experience,LL/KS,Little Bay,6,30,beach senine,4,BELO,Gar,30,71,FL,
6/18/2015,Experience,LL/KS,Little Bay,6,30,beach senine,4,BELO,Gar,31,75,FL,
6/18/2015,Experience,LL/KS,Little Bay,6,30,beach senine,4,BELO,Gar,32,61.5,FL,
6/18/2015,Experience,LL/KS,Little Bay,6,30,beach senine,4,BELO,Gar,33,72.5,FL,
6/18/2015,Experience,LL/KS,Little Bay,6,30,beach senine,4,BELO,Gar,34,67,FL,
6/18/2015,Experience,LL/KS,Little Bay,6,30,beach senine,4,BELO,Gar,35,61.5,FL,
6/19/2015,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,BELO,Gar,100,66.5,FL,
6/19/2015,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,34.5,FL,0.62
6/19/2015,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,24,FL,0.24
6/19/2015,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,24,FL,0.18
6/19/2015,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,23.5,FL,0.19
6/19/2015,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,28,FL,0.34
6/19/2015,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,22.5,FL,0.16
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,CARARU,Bar Jack,50,21,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,CARARU,Bar Jack,50,23,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,HOLOAD,Squirrelfish,100,29.5,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,HOLOAD,Squirrelfish,100,28.5,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,HOLOAD,Squirrelfish,100,27.5,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,HOLOAD,Squirrelfish,100,25.5,TL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,HOLOAD,Squirrelfish,100,27,TL,0.04
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,HOLOAD,Squirrelfish,100,26.5,TL,0.03
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,4",90,POT,24,HOLOAD,Squirrelfish,100,25.5,TL,0.04
6/17/2015,Experience,KS/LT,Little Bay,6,20,POT,,HOLOAD,Squirrelfish,20,24,TL,
6/17/2015,Experience,KS/LT,Little Bay,6,20,POT,,HOLOAD,Squirrelfish,20,23.5,TL,
6/17/2015,Experience,KS/LT,Little Bay,6,20,POT,,HOLOAD,Squirrelfish,20,24,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,31.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,27,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,25,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,24,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,24.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,23.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,24.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,24.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,25,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,23,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,23.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,25,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,26.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,24,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,25.5,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,22,TL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,HOLOAD,Squirrelfish,90,28,TL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,HOLOAD,Squirrelfish,100,21,FL,0.17
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,HOLOAD,Squirrelfish,,20,FL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,HOLOAD,Squirrelfish,,21.5,FL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,HOLOAD,Squirrelfish,,20.5,FL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,HOLOAD,Squirrelfish,,20.5,FL,
6/19/2015,John Allen,LT/KS,Carr's Bay,,,pot,,HOLOAD,Squirrelfish,,20.5,FL,
6/19/2015,Try me,LL/JA,Carr's Bay,2 and 3,1,pot,20,HOLOAD,Squirrelfish,,22,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,HOLOAD,Squirrelfish,100,18,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,HOLOAD,Squirrelfish,100,18,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,HOLOAD,Squirrelfish,100,19.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,HOLOAD,Squirrelfish,100,17.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,HOLOAD,Squirrelfish,100,21,FL,
6/20/2015,Lady Desemee,LT/KS,Little Bay,9,40,lines,,HOLOAD,Squirrelfish,100,21.5,FL,0.09
6/20/2015,Water Duck,KS/LT/AE,Little Bay,10,,POT,7,HOLOAD,Squirrelfish,100,23,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,HOLOAD,Squirrelfish,80,23.5,FL,
6/21/2015,GOAT GUYS,LT/KS,Little Bay,PLYMOUTH,40,POT/LINE,,HOLOAD,Squirrelfish,80,23.5,FL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,19,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,20,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,19,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,20,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,21,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,22,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,20.5,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,20,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,20.5,TL,
7/29/2015,Try Me,LL/RR,Carr's Bay,1,50,pots,15,HOLOAD,Squirrelfish,30,20.5,TL,
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJMA,Mahogany Snapper,,30.5,FL,0.39
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJMA,Mahogany Snapper,,28.5,FL,0.33
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJMA,Mahogany Snapper,,23.5,FL,
6/16/2015,Try me,KS/AE,Carr's Bay,"2,3,5",90,POT,24,LUTJMA,Mahogany Snapper,100,26,TL,0.2
6/17/2015,Experience,KS/LT,Little Bay,6,20,POT,,LUTJMA,Mahogany Snapper,100,25,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,LUTJMA,Mahogany Snapper,90,24,FL,
6/17/2015,Try me,KS/LL,Carr's Bay,"2,3",90,POT,26,LUTJMA,Mahogany Snapper,90,24.5,FL,
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJMA,Mahogany Snapper,100,30,FL,0.36
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJMA,Mahogany Snapper,100,42,FL,1.53
6/18/2015,Everytime,LL/KS,Little Bay,8,100,Pot,12,LUTJMA,Mahogany Snapper,100,28,FL,0.31
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,19.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,19.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,20.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,18.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,18.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,17.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,20,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,19.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,23,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,21.5,FL,
6/20/2015,Fred,KS/LT/AE,Little Bay,1 and 10,75,POT,20,LUTJMA,Mahogany Snapper,100,23,FL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,LUTJMA,Mahogany Snapper,100,19.5,FL,
6/20/2015,Tommy,LT/KS,Little Bay,Yellow Hole,60,lines,,LUTJMA,Mahogany Snapper,100,19,FL,
6/15/2015,Everytime,LT/KS,John Ogarro processing shop,8 or 9,,POT,,LUTJSY,Lane Snapper,,24,FL,0.21
