DATE,EXPEDITION,STATION N1/4,DEPTH_M,TRANSECT LENGTH,TIME START,TIME END,DURAT,DIVER,BUDDIE,DATATYPE,SPECIES_CODE,FAMILY,GENUS,SPECIES,COMMON_NAME,NUMBER,MIN,MAX,AVG,COMMENT,a,b,BIOMASS (KG)
14-Oct-15,MONTSERRAT,MSA147,6.2,30,1055,1112,17,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,6,12,12,12,,0.017,3.12,0.237490182
14-Oct-15,MONTSERRAT,MSA097,9,30,1323,1337,14,HK,MB,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,14,14,14,,0.017,3.12,0.128055545
14-Oct-15,MONTSERRAT,MSA037,20,30,1226,1241,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,12,12,12,,0.017,3.12,0.039581697
14-Oct-15,MONTSERRAT,MSA037,20,30,1226,1241,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,13,13,13,,0.017,3.12,0.050810349
14-Oct-15,MONTSERRAT,MSA-073,5.7,30,940,1001,21,GM,AE,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,6,2,3,2.5,,0.017,3.12,0.001778988
15-Oct-15,MONTSERRAT,MSA029,11.1,30,1103,1118,15,MC,RM,QUAL,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,13,13,13,,0.017,3.12,0.050810349
15-Oct-15,MONTSERRAT,MSA154,4,23,109,126,17,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,8,12,12,12,,0.017,3.12,0.316653575
15-Oct-15,MONTSERRAT,MSA145,42,30,859,913,14,HK,MB,QUAL,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,,,,,"Rock patch about 2m past end of seagrass transect, sig. fish diversiy",0.017,3.12,0
15-Oct-15,MONTSERRAT,MSA149,7,25,1208,1219,11,HK,MB,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,15,13,17,15,,0.017,3.12,1.191090906
17-Oct-15,MONTSERRAT,WPT0038,5,0,1000,1030,0,EG,EA,QUAL,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,,,,,0.017,3.12,0
17-Oct-15,MONTSERRAT,MSA011,3.9,30,917,932,15,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,13,13,13,,0.017,3.12,0.050810349
17-Oct-15,MONTSERRAT,MSA103b,5.1,30,1047,1104,17,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,12,12,12,,0.017,3.12,0.079163394
17-Oct-15,MONTSERRAT,MSA183,2.3,30,1224,1239,15,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,3,3,3,,0.017,3.12,0.000523682
17-Oct-15,MONTSERRAT,BB02,5,30,1453,1508,15,HK,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,12,12,12,,0.017,3.12,0.039581697
17-Oct-15,MONTSERRAT,BB02,5,30,1453,1508,15,HK,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,6,12,15,13.5,,0.017,3.12,0.342958467
17-Oct-15,MONTSERRAT,MSA093,4,30,1139,1154,15,HK,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,6,14,16,15,,0.017,3.12,0.476436362
17-Oct-15,MONTSERRAT,MSA094,7,30,832,846,14,HK,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,14,14,14,,0.017,3.12,0.064027772
18-Oct-15,MONTSERRAT,MA038,20,30,834,848,14,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,20,20,20,,0.017,3.12,0.194832996
18-Oct-15,MONTSERRAT,MA038,20,30,834,848,14,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,15,15,15,,0.017,3.12,0.07940606
18-Oct-15,MONTSERRAT,MA038,10,30,912,927,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,18,18,18,,0.017,3.12,0.140248795
18-Oct-15,MONTSERRAT,MA038,10,30,912,927,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,20,20,20,,0.017,3.12,0.194832996
18-Oct-15,MONTSERRAT,MSA162,12.4,30,855,912,17,MC,RM,QUAL,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,15,15,15,,0.017,3.12,0.07940606
18-Oct-15,MONTSERRAT,S01,42,30,945,1002,17,HK,DH,QUAL,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,,,,,,0.017,3.12,0
18-Oct-15,MONTSERRAT,MP070,20,30,1003,1018,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,12,12,12,,0.017,3.12,0.039581697
18-Oct-15,MONTSERRAT,MP070,20,30,1003,1018,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,13,13,13,,0.017,3.12,0.101620699
18-Oct-15,MONTSERRAT,1181,11.8,30,1050,1120,30,GM,AE,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,18,,,,,0.017,3.12,0
19-Oct-15,MONTSERRAT,WPT0054,20,30,956,1011,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,12,12,12,,0.017,3.12,0.039581697
19-Oct-15,MONTSERRAT,WPT0054,20,30,956,1011,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,20,20,25,22.5,,0.017,3.12,5.627148464
19-Oct-15,MONTSERRAT,FP11,16.7,30,1222,1239,17,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,15,15,15,,0.017,3.12,0.07940606
19-Oct-15,MONTSERRAT,FP13,9.1,30,241,256,15,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,12,12,12,,0.017,3.12,0.039581697
19-Oct-15,MONTSERRAT,FP12,9,30,1348,1403,15,HK,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,14,14,14,,0.017,3.12,0.128055545
19-Oct-15,MONTSERRAT,FP12,9,30,1348,1403,15,HK,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,3,15,15,15,,0.017,3.12,0.238218181
19-Oct-15,MONTSERRAT,WPT0053,5,30,912,926,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,8,8,8,,0.017,3.12,0.011170939
19-Oct-15,MONTSERRAT,WPT0053,5,30,912,926,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,9,9,9,,0.017,3.12,0.016131901
19-Oct-15,MONTSERRAT,WPT0053,5,30,912,926,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,3,11,11,11,,0.017,3.12,0.090513916
19-Oct-15,MONTSERRAT,WPT0053,5,30,912,926,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,3,12,12,12,,0.017,3.12,0.118745091
19-Oct-15,MONTSERRAT,WPT0057,20,30,1207,1222,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,15,15,15,,0.017,3.12,0.07940606
19-Oct-15,MONTSERRAT,WPT0057,20,30,1207,1222,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,16,16,16,,0.017,3.12,0.097118791
20-Oct-15,MONTSERRAT,M8Y (Hobo),9.1,30,153,208,15,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,18,13,15,14,,0.017,3.12,1.152499904
21-Oct-15,MONTSERRAT,Sargassum Field,17.1,30,1121,1135,14,MC,RM,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,15,15,15,,0.017,3.12,0.07940606
21-Oct-15,MONTSERRAT,WPT0209,10,30,1355,1410,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,6,9,13,11,,0.017,3.12,0.181027832
24-Oct-15,MONTSERRAT,WPT0248,10,30,1020,1035,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,15,15,15,,0.017,3.12,0.07940606
24-Oct-15,MONTSERRAT,WPT0248,5,30,1020,1035,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,11,11,11,,0.017,3.12,0.030171305
24-Oct-15,MONTSERRAT,WPT0248,5,30,1020,1035,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,13,13,13,,0.017,3.12,0.050810349
25-Oct-15,MONTSERRAT,WPT0250,5,30,8:46,9:01,15,DG,DH,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,12,12,16,14,,0.017,3.12,0.768333269
24-Oct-15,MONTSERRAT,WPT0249,10,30,11:45,12:00,15,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,16,16,16,,0.017,3.12,0.097118791
25-Oct-15,MONTSERRAT,WPT0251,10,30,10:09,10:22,13,EG,EA,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,10,16,20,18,,0.017,3.12,1.402487946
13-Oct-15,MONTSERRAT,MSA-174,5,30,10:00,10:26,7,SM,AC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,14,14,14,,0.017,3.12,0.064027772
15-Oct-15,MONTSERRAT,1112,5,30,11:00,11:35,11,SM,AC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,4,3,3,3,,0.017,3.12,0.002094726
15-Oct-15,MONTSERRAT,1112,5,30,11:00,11:35,11,SM,AC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,6,4,4,4,,0.017,3.12,0.00770952
15-Oct-15,MONTSERRAT,1112,5,30,11:00,11:35,11,SM,AC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,5,5,5,,0.017,3.12,0.005155435
16-Oct-15,MONTSERRAT,MSA-164,10,30,13:57,14:40,15,SM,AC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,16,16,16,,0.017,3.12,0.194237582
16-Oct-15,MONTSERRAT,MSA-164,10,30,13:57,14:40,15,SM,AC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,14,14,14,,0.017,3.12,0.128055545
17-Oct-15,MONTSERRAT,1133,20,30,10:25,11:05,15,SM,AE,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,1,15,15,15,,0.017,3.12,0.07940606
24-Oct-15,MONTSERRAT,1230,17,30,12:36,13:51,14,SM,AC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,4,16,16,16,,0.017,3.12,0.388475164
25-Oct-15,MONTSERRAT,1238,6.5,30,9:41,10:14,15,SM,AC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,2,14,14,14,,0.017,3.12,0.128055545
24-Oct-15,MONTSERRAT,1233,10,30,13:59,14:14,15,AE,JC,QUAN,ABSA,Pomacentridae ,Abudefduf ,Abudefduf saxatilis ,sergeant major ,8,15,18,16.5,,0.017,3.12,0.855241594
14-Oct-15,MONTSERRAT,MSA037,20,30,1226,1241,15,DG,DH,QUAN,ACAS,Chaenopsidae ,Acanthemblemaria ,Acanthemblemaria aspera ,roughhead blenny ,1,2,2,2,,0.0077,2.962,6.00E-05
12-Oct-15,MONTSERRAT,MA047N,20,30,1359,1414,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish,1,17,17,17,,0.0191,3.08,0.117710728
14-Oct-15,MONTSERRAT,MSA037,20,30,1226,1241,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,22,22,22,,0.0191,3.08,0.260432527
14-Oct-15,MONTSERRAT,MSA037,20,30,1226,1241,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,2,24,24,24,,0.0923,2.744,1.131179026
15-Oct-15,MONTSERRAT,WPT0020,20,30,823,838,15,DG,EG,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,19,19,19,,0.0923,2.744,0.297921319
15-Oct-15,MONTSERRAT,WPT0020,20,30,823,838,15,DG,EG,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,23,23,23,,0.0923,2.744,0.503248957
15-Oct-15,MONTSERRAT,MSA151,20,30,1033,1048,15,DG,EA,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,22,22,22,,0.0923,2.744,0.445460846
15-Oct-15,MONTSERRAT,MSA151,20,30,1033,1048,15,DG,EA,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,25,25,25,,0.0923,2.744,0.632628983
16-Oct-15,MONTSERRAT,WPT0029,24,30,901,915,15,DG,MC,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,27,27,27,,0.0923,2.744,0.781382841
18-Oct-15,MONTSERRAT,MP070,20,30,1003,1018,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,22,22,22,,0.0923,2.744,0.445460846
12-Oct-15,MONTSERRAT,MP-017,10,30,1045,1110,35,GM,AE,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,1,1,1,,0.0923,2.744,0.0000923
12-Oct-15,MONTSERRAT,MA-028,10,30,1125,1145,20,GM,AE,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,1,1,1,,0.0923,2.744,0.0000923
13-Oct-15,MONTSERRAT,MSA-171,15,30,205,249,44,GM,AE,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,2,1,1,1,,0.0923,2.744,0.0001846
14-Oct-15,MONTSERRAT,MSA147,6.2,30,1055,1112,17,MC,RM,QUAL,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,2,18,18,18,,0.0923,2.744,0.513688036
18-Oct-15,MONTSERRAT,MP070,20,30,1003,1018,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,23,23,23,,0.0923,2.744,0.503248957
18-Oct-15,MONTSERRAT,MP070,20,30,1003,1018,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,2,25,25,25,,0.0923,2.744,1.265257967
19-Oct-15,MONTSERRAT,WPT0053,10,30,843,858,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,24,24,24,,0.0923,2.744,0.565589513
19-Oct-15,MONTSERRAT,WPT0053,10,30,843,858,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,25,25,25,,0.0923,2.744,0.632628983
19-Oct-15,MONTSERRAT,WPT0053,10,30,843,858,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,26,26,26,,0.0923,2.744,0.704512281
19-Oct-15,MONTSERRAT,WPT0053,5,30,912,926,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,25,25,25,,0.0923,2.744,0.632628983
19-Oct-15,MONTSERRAT,WPT0057,20,30,1207,1222,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,25,25,25,,0.0923,2.744,0.632628983
16-Oct-15,MONTSERRAT,MSA-011,8,30,,,,GM,AE,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,13,4,7,5.5,,0.0923,2.744,0.129032845
17-Oct-15,MONTSERRAT,MSA011,3.9,30,917,932,15,MC,RM,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,18,18,18,,0.0923,2.744,0.256844018
17-Oct-15,MONTSERRAT,MSA094,7,30,832,846,14,HK,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,18,18,18,,0.0923,2.744,0.256844018
17-Oct-15,MONTSERRAT,BB01,7,30,1421,1436,15,HK,DH,QUAL,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,,,,,,0.0923,2.744,0
18-Oct-15,MONTSERRAT,MSA162,12.4,30,855,912,17,MC,RM,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,25,25,25,,0.0923,2.744,0.632628983
18-Oct-15,MONTSERRAT,SO3,13,30,1104,1121,17,MC,RM,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,2,25,25,25,,0.0923,2.744,1.265257967
21-Oct-15,MONTSERRAT,WPT0209,10,30,1355,1410,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,27,27,27,,0.0923,2.744,0.781382841
24-Oct-15,MONTSERRAT,WPT0248,20,30,1000,1015,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,21,21,21,,0.0923,2.744,0.392077072
24-Oct-15,MONTSERRAT,WPT0248,10,30,1020,1035,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,2,22,22,22,,0.0923,2.744,0.890921691
19-Oct-15,MONTSERRAT,WPT0056,10,30,1051,1104,13,EG,EA,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,10,20,25,22.5,,0.0923,2.744,4.737950627
19-Oct-15,MONTSERRAT,WPT0056,5,30,1118,1132,14,EG,EA,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,20,20,20,,0.0923,2.744,0.34294779
24-Oct-15,MONTSERRAT,WPT0248,10,30,1020,1035,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,23,23,23,,0.0923,2.744,0.503248957
24-Oct-15,MONTSERRAT,WPT0248,10,30,1020,1035,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,25,25,25,,0.0923,2.744,0.632628983
24-Oct-15,MONTSERRAT,WPT0248,5,30,1020,1035,15,DG,DH,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,25,17,28,22.5,,0.0923,2.744,11.84487657
16-Oct-15,MONTSERRAT,MSA-150,10,30,9:17,9:47,13,SM,AC,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,2,24,24,24,,0.0923,2.744,1.131179026
16-Oct-15,MONTSERRAT,MSA-158,5,30,10:03,10:42,14,SM,AC,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,18,18,18,,0.0923,2.744,0.256844018
25-Oct-15,MONTSERRAT,1235,20.5,30,8:37,9:13,14,SM,AC,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,30,30,30,,0.0923,2.744,1.043331751
25-Oct-15,MONTSERRAT,1235,20.5,30,8:37,9:13,14,SM,AC,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,10,10,10,,0.0923,2.744,0.051191953
25-Oct-15,MONTSERRAT,1238,6.5,30,9:41,10:14,15,SM,AC,QUAN,ACCH,Acanthuridae ,Acanthurus ,Acanthurus chirurgus ,doctorfish ,1,18,18,18,,0.0923,2.744,0.256844018
