Date,Vessel ID/ Length,Surveyor,Port,Area fished,% of total catch surveyed,Gear Type,No. of gears,Species ID,COMMON_NAME,% of individuals sampled out of total,Length,Length Type,Weight (kg)
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,HOLOAD,Squirrelfish,100,25.5,TL,
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,HOLOAD,Squirrelfish,100,27,TL,0.04
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,HOLOAD,Squirrelfish,100,26.5,TL,0.03
6/16/15,Try me,KS/AE,Carr's Bay,"2,3,4",90,pots,24,HOLOAD,Squirrelfish,100,25.5,TL,0.04
6/17/15,Experience,KS/LT,Little Bay,6,20,pots,,ACANCH,Doctorfish,100,17,FL,
6/17/15,Experience,KS/LT,Little Bay,6,20,pots,,ACANCH,Doctorfish,100,19.5,FL,
6/17/15,Experience,KS/LT,Little Bay,6,20,pots,,ACANCH,Doctorfish,100,18,FL,
6/17/15,Experience,KS/LT,Little Bay,6,20,pots,,LUTJMA,Mahogany Snapper,100,25,FL,
6/17/15,Experience,KS/LT,Little Bay,6,20,pots,,BALIVE,Queen Triggerfish,100,25.5,FL,
6/17/15,Experience,KS/LT,Little Bay,6,20,pots,,HOLOAD,Squirrelfish,20,24,TL,
6/17/15,Experience,KS/LT,Little Bay,6,20,pots,,HOLOAD,Squirrelfish,20,23.5,TL,
6/17/15,Experience,KS/LT,Little Bay,6,20,pots,,HOLOAD,Squirrelfish,20,24,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,17,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,22.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,15.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,16,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,19,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,19,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,19,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,19,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,17,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,22,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,19,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,16,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,15.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,16.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,17.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,19,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,17.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCO,Blue Tang,100,18,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,SERRFU,Coney,90,28,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,SERRFU,Coney,90,25,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,SERRFU,Coney,90,25,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,SERRFU,Coney,90,25,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCH,Doctorfish,100,16.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCH,Doctorfish,100,20.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCH,Doctorfish,100,18.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCH,Doctorfish,100,19,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,ACANCH,Doctorfish,100,27,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,LUTJSY,Lane Snapper,90,31,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,LUTJSY,Lane Snapper,90,30.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,LUTJSY,Lane Snapper,90,26,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,LUTJSY,Lane Snapper,90,30,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,LUTJSY,Lane Snapper,90,34,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,LUTJSY,Lane Snapper,90,29.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,LUTJMA,Mahogany Snapper,90,24,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,LUTJMA,Mahogany Snapper,90,24.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,BALIVE,Queen Triggerfish,100,31.5,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,BALIVE,Queen Triggerfish,100,32,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,BALIVE,Queen Triggerfish,100,21,FL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,SERRGU,Red Hind,100,36,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,SERRGU,Red Hind,100,38,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,SERRGU,Red Hind,100,29.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,31.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,27,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,25,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,24,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,24.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,23.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,24.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,24.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,25,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,23,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,23.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,25,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,26.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,24,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,25.5,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,22,TL,
6/17/15,Try me,KS/LL,Carr's Bay,"2,3",90,pots,26,HOLOAD,Squirrelfish,90,28,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,ACANCO,Blue Tang,100,20.5,FL,0.3
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,SERRFU,Coney,100,26,TL,0.24
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,SERRFU,Coney,100,27,TL,0.27
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,ACANCH,Doctorfish,100,22.5,FL,0.08
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,ACANCH,Doctorfish,100,20.5,FL,0.19
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,26.5,FL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,24.5,FL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,26.5,FL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,26,FL,0.25
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,26.5,FL,0.29
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,24.5,FL,0.07
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,24.5,FL,0.22
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,26,FL,0.29
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,25,FL,0.23
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,23.5,FL,0.19
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,23.5,FL,0.27
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,23,FL,0.1
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,24,FL,0.07
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,23,FL,0.43
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,24,FL,0.27
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,23.5,FL,0.21
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,24,FL,0.2
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,27,FL,0.3
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,22,FL,0.15
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,24.5,FL,0.21
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,23,FL,0.19
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJSY,Lane Snapper,100,23,FL,0.18
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,PTERVO,Lionfish,100,37,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,PTERVO,Lionfish,100,35,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,PTERVO,Lionfish,100,37,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,PTERVO,Lionfish,100,32,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,PTERVO,Lionfish,100,28,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,PTERVO,Lionfish,100,27,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,PTERVO,Lionfish,100,29,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,PTERVO,Lionfish,100,28,TL,
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJMA,Mahogany Snapper,100,30,FL,0.36
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJMA,Mahogany Snapper,100,42,FL,1.53
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,LUTJMA,Mahogany Snapper,100,28,FL,0.31
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,SERRGU,Red Hind,100,34,TL,0.47
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,SERRGU,Red Hind,100,29,TL,0.3
6/18/15,Everytime,LL/KS,Little Bay,8,100,pots,12,HOLOAD,Squirrelfish,100,21,FL,0.17
6/18/15,Experience,LL/KS,Little Bay,6,30,pots,8,SERRFU,Coney,100,26,TL,
6/18/15,Experience,LL/KS,Little Bay,6,30,beach seine,4,BELO,Gar,30,71,FL,
6/18/15,Experience,LL/KS,Little Bay,6,30,beach seine,4,BELO,Gar,31,75,FL,
6/18/15,Experience,LL/KS,Little Bay,6,30,beach seine,4,BELO,Gar,32,61.5,FL,
6/18/15,Experience,LL/KS,Little Bay,6,30,beach seine,4,BELO,Gar,33,72.5,FL,
6/18/15,Experience,LL/KS,Little Bay,6,30,beach seine,4,BELO,Gar,34,67,FL,
6/18/15,Experience,LL/KS,Little Bay,6,30,beach seine,4,BELO,Gar,35,61.5,FL,
6/18/15,Miss France,LT/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,29.5,FL,
6/18/15,Miss France,LL/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,26.5,FL,
6/18/15,Miss France,LT/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,27,FL,
6/18/15,Miss France,LL/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,26.5,FL,
6/18/15,Miss France,LT/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,28.5,FL,
6/18/15,Miss France,LL/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,27.5,FL,
6/18/15,Miss France,LT/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,21,FL,
6/18/15,Miss France,LL/KS,Little Bay,10,50,line,1,LUTJVI,Silk Snapper,90,23,FL,
6/19/15,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,34.5,FL,0.62
6/19/15,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,24,FL,0.24
6/19/15,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,24,FL,0.18
6/19/15,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,23.5,FL,0.19
6/19/15,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,28,FL,0.34
6/19/15,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,CARARU,Bar Jack,50,22.5,FL,0.16
6/19/15,Fred Blake,LT/KS,Little Bay,10,5,beach seine,,BELO,Gar,100,66.5,FL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,ACANCO,Blue Tang,,18.5,FL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,ACANCH,Doctorfish,,19,FL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,25,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,27.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,35.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,30.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,27.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,26,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,27,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,28.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,31.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,35.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,31,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,34,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,28,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,27.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,31,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,26,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,31.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,28,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,33.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,31,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,30.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,31,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,32,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,SERRGU,Red Hind,,27.5,TL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,HOLOAD,Squirrelfish,,20,FL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,HOLOAD,Squirrelfish,,21.5,FL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,HOLOAD,Squirrelfish,,20.5,FL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,HOLOAD,Squirrelfish,,20.5,FL,
6/19/15,John Allen,LT/KS,Carr's Bay,,,pots,,HOLOAD,Squirrelfish,,20.5,FL,
6/19/15,Try me,LL/JA,Carr's Bay,"2,3",1,pots,20,ACANCO,Blue Tang,,17.5,FL,
6/19/15,Try me,LL/JA,Carr's Bay,"2,3",1,pots,20,ACANCH,Doctorfish,,18,FL,
6/19/15,Try me,LL/JA,Carr's Bay,"2,3",1,pots,20,SERRGU,Red Hind,,32,TL,
6/19/15,Try me,LL/JA,Carr's Bay,"2,3",1,pots,20,HOLOAD,Squirrelfish,,22,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,CARARU,Bar Jack,50,21,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,CARARU,Bar Jack,50,23,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,17,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,18.5,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,19.5,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,17.5,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,18.5,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,20,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,17,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,18.5,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,19,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,20,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,19.5,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,18,FL,
6/20/15,Fred,KS/LT/AE,Little Bay,"1,10",75,pots,20,ACANCO,Blue Tang,100,19,FL,
