"","Species","Site","Assessment","Year","Method","SampleSize","Value","LowerCI","UpperCI","SD","Metric","Flag","Assessments.a.","SA","FSlope"
"28","Doctorfish","All","LBAR",1998,"CatchMSY",785.6464248,NA,0.616835571912904,1.53613005706113,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"29","Doctorfish","All","LBAR",1999,"CatchMSY",1063.221868,NA,0.834768730965765,2.07885763519544,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"30","Doctorfish","All","LBAR",2000,"CatchMSY",1033.299928,NA,0.811276080340718,2.0203529568202,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"31","Doctorfish","All","LBAR",2001,"CatchMSY",1619.799752,NA,1.27175542950336,3.16710291923085,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"32","Doctorfish","All","LBAR",2002,"CatchMSY",1436.089121,NA,1.12751846925981,2.8079039040344,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"33","Doctorfish","All","LBAR",2003,"CatchMSY",1516.833959,NA,1.19091376611923,2.96577972283662,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"34","Doctorfish","All","LBAR",2004,"CatchMSY",1523.178946,NA,1.19589541379353,2.9781857173587,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"35","Doctorfish","All","LBAR",2005,"CatchMSY",2450.801086,NA,1.92420055868315,4.79191286721763,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"36","Doctorfish","All","LBAR",2006,"CatchMSY",2106.060777,NA,1.65353416353271,4.1178616225114,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"37","Doctorfish","All","LBAR",2007,"CatchMSY",1286.408421,NA,1.0099994718147,2.51524168987047,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"38","Doctorfish","All","LBAR",2008,"CatchMSY",1242.408509,NA,0.975453765214504,2.42921114839826,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"39","Doctorfish","All","LBAR",2009,"CatchMSY",589.6828177,NA,0.462978417035103,1.15297349011938,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"40","Doctorfish","All","LBAR",2010,"CatchMSY",518.9209596,NA,0.407421069820235,1.01461682777146,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"41","Doctorfish","All","LBAR",2011,"CatchMSY",1063.244868,NA,0.834786788984876,2.07890260579569,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"42","Doctorfish","All","LBAR",2012,"CatchMSY",836.8953221,NA,0.657072683516891,1.63633412984592,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"43","Doctorfish","All","LBAR",2013,"CatchMSY",393.264264,NA,0.308764069357409,0.768927391799953,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"44","Doctorfish","All","LBAR",2014,"CatchMSY",788.342896,NA,0.618952655759142,1.54140231481928,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"45","Doctorfish","All","LBAR",2015,"CatchMSY",1134.887184,NA,0.891035411225186,2.21898077772028,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"46","Doctorfish","All","LBAR",1994,"CatchMSY",1316.341361,NA,1.03350075888367,2.57376787592409,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"47","Doctorfish","All","LBAR",1995,"CatchMSY",348.8153006,NA,0.273865798463152,0.682018845501493,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"48","Doctorfish","All","LBAR",1996,"CatchMSY",233.1455326,NA,0.183049847107583,0.455856284699005,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"49","Doctorfish","All","LBAR",1997,"CatchMSY",454.2830892,NA,0.356671856819532,0.888234052503131,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"50","Doctorfish","All","LBAR",1998,"CatchMSY",785.6464248,NA,0.616835571912904,1.53613005706113,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"51","Doctorfish","All","LBAR",1999,"CatchMSY",1063.221868,NA,0.834768730965765,2.07885763519544,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"52","Doctorfish","All","LBAR",2000,"CatchMSY",1033.299928,NA,0.811276080340718,2.0203529568202,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"53","Doctorfish","All","LBAR",2001,"CatchMSY",1619.799752,NA,1.27175542950336,3.16710291923085,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"54","Doctorfish","All","LBAR",2002,"CatchMSY",1436.089121,NA,1.12751846925981,2.8079039040344,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"55","Doctorfish","All","LBAR",2003,"CatchMSY",1516.833959,NA,1.19091376611923,2.96577972283662,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"56","Doctorfish","All","LBAR",2004,"CatchMSY",1523.178946,NA,1.19589541379353,2.9781857173587,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"57","Doctorfish","All","LBAR",2005,"CatchMSY",2450.801086,NA,1.92420055868315,4.79191286721763,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"58","Doctorfish","All","LBAR",2006,"CatchMSY",2106.060777,NA,1.65353416353271,4.1178616225114,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"59","Doctorfish","All","LBAR",2007,"CatchMSY",1286.408421,NA,1.0099994718147,2.51524168987047,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"60","Doctorfish","All","LBAR",2008,"CatchMSY",1242.408509,NA,0.975453765214504,2.42921114839826,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"61","Doctorfish","All","LBAR",2009,"CatchMSY",589.6828177,NA,0.462978417035103,1.15297349011938,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"62","Doctorfish","All","LBAR",2010,"CatchMSY",518.9209596,NA,0.407421069820235,1.01461682777146,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"63","Doctorfish","All","LBAR",2011,"CatchMSY",1063.244868,NA,0.834786788984876,2.07890260579569,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"64","Doctorfish","All","LBAR",2012,"CatchMSY",836.8953221,NA,0.657072683516891,1.63633412984592,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"65","Doctorfish","All","LBAR",2013,"CatchMSY",393.264264,NA,0.308764069357409,0.768927391799953,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"66","Doctorfish","All","LBAR",2014,"CatchMSY",788.342896,NA,0.618952655759142,1.54140231481928,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
"67","Doctorfish","All","LBAR",2015,"CatchMSY",1134.887184,NA,0.891035411225186,2.21898077772028,0.30664665735754,"Catch/MSY",NA,NA,"Doctorfish-CatchMSY-Catch/MSY",NA
